epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,677.999,0.82788,0.82748,1.19726,0.90838,0.92474,0.93158,0.77254,0.74181,0.41912,1.17205,0.00011876,0.00011876,0.00011876
2,1386.4,0.8079,0.55333,1.1877,0.92621,0.93317,0.96391,0.80819,0.72403,0.3966,1.17284,0.000228344,0.000228344,0.000228344
3,2149.24,0.79689,0.53064,1.17777,0.96283,0.93709,0.95839,0.79547,0.70352,0.37724,1.14116,0.000328504,0.000328504,0.000328504
4,2833.11,0.77744,0.50234,1.16682,0.96552,0.96246,0.97566,0.81871,0.68097,0.34236,1.12952,0.000314588,0.000314588,0.000314588
5,3617.53,0.75767,0.46758,1.14884,0.96277,0.94304,0.97371,0.82775,0.65998,0.33211,1.09775,0.000300451,0.000300451,0.000300451
6,4357.51,0.72951,0.44501,1.13323,0.93439,0.96622,0.97194,0.82558,0.62918,0.30878,1.07406,0.000286314,0.000286314,0.000286314
7,5062.21,0.71003,0.42784,1.11603,0.96908,0.93953,0.96862,0.82794,0.62127,0.29981,1.0719,0.000272177,0.000272177,0.000272177
8,5796.21,0.70093,0.41423,1.1123,0.97227,0.96287,0.97874,0.82748,0.61955,0.29125,1.06563,0.00025804,0.00025804,0.00025804
9,6475.77,0.68111,0.39964,1.10127,0.96282,0.98467,0.98488,0.84677,0.58213,0.28294,1.04079,0.000243902,0.000243902,0.000243902
10,7190.46,0.66918,0.38685,1.09175,0.96609,0.9864,0.98505,0.84582,0.58747,0.27482,1.05463,0.000229765,0.000229765,0.000229765
11,7901.77,0.65316,0.37982,1.08019,0.96576,0.98106,0.98644,0.85032,0.5692,0.27159,1.03656,0.000215628,0.000215628,0.000215628
12,8631.28,0.63857,0.36566,1.07292,0.97294,0.96469,0.98145,0.86439,0.56611,0.2623,1.01443,0.000201491,0.000201491,0.000201491
13,9335.15,0.63285,0.35672,1.06882,0.96794,0.96558,0.97343,0.84945,0.54317,0.25568,1.01753,0.000187354,0.000187354,0.000187354
14,10048.4,0.61645,0.34629,1.05932,0.97593,0.96429,0.98183,0.86582,0.5388,0.25313,1.005,0.000173216,0.000173216,0.000173216
15,10783.3,0.61326,0.34156,1.05805,0.97058,0.98407,0.98482,0.87551,0.52977,0.2508,1.00678,0.000159079,0.000159079,0.000159079
16,11520.1,0.535,0.28436,1.01311,0.96815,0.98123,0.98674,0.86801,0.52564,0.24716,0.9872,0.000144942,0.000144942,0.000144942
17,12216.8,0.51932,0.27434,1.00398,0.9801,0.96239,0.98058,0.86541,0.52679,0.24709,0.98914,0.000130805,0.000130805,0.000130805
18,12907.9,0.50506,0.26437,0.99315,0.9621,0.9897,0.98817,0.88297,0.51849,0.24798,0.99122,0.000116668,0.000116668,0.000116668
19,13679.7,0.48995,0.25284,0.98804,0.97524,0.96534,0.97882,0.8728,0.51123,0.23711,0.98274,0.00010253,0.00010253,0.00010253
20,14371.4,0.47922,0.24449,0.97613,0.97918,0.96111,0.98229,0.88031,0.49207,0.22421,0.97286,8.83932e-05,8.83932e-05,8.83932e-05
21,15062.8,0.46905,0.23784,0.97246,0.97116,0.96529,0.98366,0.88482,0.49698,0.22577,0.97521,7.4256e-05,7.4256e-05,7.4256e-05
22,15803.7,0.45757,0.22808,0.95876,0.98081,0.9604,0.97947,0.8797,0.48885,0.22382,0.96626,6.01188e-05,6.01188e-05,6.01188e-05
23,16509.1,0.45021,0.22205,0.95082,0.9802,0.96319,0.98281,0.88021,0.47975,0.21505,0.95012,4.59816e-05,4.59816e-05,4.59816e-05
24,17205.3,0.4393,0.21406,0.94631,0.9808,0.95997,0.96983,0.8746,0.47639,0.2148,0.94873,3.18444e-05,3.18444e-05,3.18444e-05
25,17900.8,0.4288,0.20898,0.93425,0.9795,0.96197,0.97043,0.87721,0.47174,0.21169,0.94367,1.77072e-05,1.77072e-05,1.77072e-05
